surface_area_increase(country=Albania, surface_area=986)
surface_area_increase(country=Algeria, surface_area=25722)
surface_area_increase(country=American Samoa, surface_area=10)
surface_area_increase(country=Argentina, surface_area=133181)
surface_area_increase(country=Belize, surface_area=321)
surface_area_increase(country=Benin, surface_area=10991)
surface_area_increase(country=Bhutan, surface_area=1378)
surface_area_increase(country=Bolivia, surface_area=15050)
surface_area_increase(country=Brazil, surface_area=252891)
surface_area_increase(country=Burkina Faso, surface_area=23692)
surface_area_increase(country=Cambodia, surface_area=11496)
surface_area_increase(country=Cape Verde, surface_area=209)
surface_area_increase(country=Comoros, surface_area=269)
surface_area_increase(country=Cote d'Ivoire, surface_area=15026)
surface_area_increase(country=Djibouti, surface_area=4013)
surface_area_increase(country=Dominica, surface_area=60)
surface_area_increase(country=Ecuador, surface_area=5947)
surface_area_increase(country=Egypt, surface_area=11316)
surface_area_increase(country=El Salvador, surface_area=1390)
surface_area_increase(country=Fiji, surface_area=230)
surface_area_increase(country=Gambia, surface_area=384)
surface_area_increase(country=Ghana, surface_area=31439)
surface_area_increase(country=Guatemala, surface_area=1110)
surface_area_increase(country=Guinea-Bissau, surface_area=2482)
surface_area_increase(country=Haiti, surface_area=2436)
surface_area_increase(country=Indonesia, surface_area=96371)
surface_area_increase(country=Isle of Man, surface_area=39)
surface_area_increase(country=Korea, Dem. Rep., surface_area=3905)
surface_area_increase(country=Laos, surface_area=7104)
surface_area_increase(country=Lebanon, surface_area=857)
surface_area_increase(country=Lesotho, surface_area=340)
surface_area_increase(country=Madagascar, surface_area=45965)
surface_area_increase(country=Malawi, surface_area=17677)
surface_area_increase(country=Malaysia, surface_area=8997)
surface_area_increase(country=Mali, surface_area=91153)
surface_area_increase(country=Mayotte, surface_area=19)
surface_area_increase(country=Mozambique, surface_area=16946)
surface_area_increase(country=Myanmar, surface_area=21177)
surface_area_increase(country=Nicaragua, surface_area=12489)
surface_area_increase(country=Niger, surface_area=123785)
surface_area_increase(country=Nigeria, surface_area=26512)
surface_area_increase(country=Oman, surface_area=7582)
surface_area_increase(country=Panama, surface_area=1319)
surface_area_increase(country=Paraguay, surface_area=38681)
surface_area_increase(country=Peru, surface_area=25061)
surface_area_increase(country=Philippines, surface_area=8550)
surface_area_increase(country=Rwanda, surface_area=1548)
surface_area_increase(country=Sao Tome and Principe, surface_area=139)
surface_area_increase(country=Saudi Arabia, surface_area=551395)
surface_area_increase(country=Senegal, surface_area=6924)
surface_area_increase(country=Sierra Leone, surface_area=5911)
surface_area_increase(country=South Africa, surface_area=29380)
surface_area_increase(country=Sri Lanka, surface_area=2827)
surface_area_increase(country=Sudan, surface_area=146339)
surface_area_increase(country=Syria, surface_area=4314)
surface_area_increase(country=Tanzania, surface_area=16104)
surface_area_increase(country=Timor-Leste, surface_area=700)
surface_area_increase(country=Togo, surface_area=2504)
surface_area_increase(country=Tunisia, surface_area=11779)
surface_area_increase(country=Uganda, surface_area=25386)
surface_area_increase(country=United Arab Emirates, surface_area=3302)
surface_area_increase(country=Vanuatu, surface_area=380)
surface_area_increase(country=Vietnam, surface_area=41381)
surface_area_increase(country=Zambia, surface_area=25212)
surface_area_increase(country=Zimbabwe, surface_area=34777)
