megacities(megacity=Moscow, country=Russia, continent=Europe)
megacities(megacity=London, country=United Kingdom, continent=Europe)
megacities(megacity=Istanbul, country=Turkey, continent=Europe)
megacities(megacity=Rhine-Ruhr, country=Germany, continent=Europe)
megacities(megacity=Paris, country=France, continent=Europe)
megacities(megacity=Tokyo, country=Japan, continent=Asia)
megacities(megacity=Delhi, country=India, continent=Asia)
megacities(megacity=Seoul, country=South Korea, continent=Asia)
megacities(megacity=Shanghai, country=China, continent=Asia)
megacities(megacity=Mumbai, country=India, continent=Asia)
megacities(megacity=Beijing, country=China, continent=Asia)
megacities(megacity=Jakarta, country=Indonesia, continent=Asia)
megacities(megacity=Karachi, country=Pakistan, continent=Asia)
megacities(megacity=Osaka, country=Japan, continent=Asia)
megacities(megacity=Manila, country=Philippines, continent=Asia)
megacities(megacity=Dhaka, country=Bangladesh, continent=Asia)
megacities(megacity=Kolkata, country=India, continent=Asia)
megacities(megacity=Bangkok, country=Thailand, continent=Asia)
megacities(megacity=Tehran, country=Iran, continent=Asia)
megacities(megacity=Guangzhou, country=China, continent=Asia)
megacities(megacity=Shenzhen, country=China, continent=Asia)
megacities(megacity=Lahore, country=Pakistan, continent=Asia)
megacities(megacity=Tianjin, country=China, continent=Asia)
megacities(megacity=Bengaluru, country=India, continent=Asia)
megacities(megacity=Chennai, country=India, continent=Asia)
megacities(megacity=Hyderabad, country=India, continent=Asia)
